[2022-01-25 20:37:29.785] <gnugo>   (out) : new_score
[2022-01-25 20:37:29.785] <gnugo>   (out) : orientation
[2022-01-25 20:37:29.785] <gnugo>   (out) : owl_attack
[2022-01-25 20:37:29.785] <gnugo>   (out) : owl_connection_defends
[2022-01-25 20:37:29.785] <gnugo>   (out) : owl_defend
[2022-01-25 20:37:29.785] <gnugo>   (out) : owl_does_attack
[2022-01-25 20:37:29.785] <gnugo>   (out) : owl_does_defend
[2022-01-25 20:37:29.786] <gnugo>   (out) : owl_substantial
[2022-01-25 20:37:29.786] <gnugo>   (out) : owl_threaten_attack
[2022-01-25 20:37:29.786] <gnugo>   (out) : owl_threaten_defense
[2022-01-25 20:37:29.786] <gnugo>   (out) : place_free_handicap
[2022-01-25 20:37:29.786] <gnugo>   (out) : play
[2022-01-25 20:37:29.786] <gnugo>   (out) : popgo
[2022-01-25 20:37:29.786] <gnugo>   (out) : printsgf
[2022-01-25 20:37:29.786] <gnugo>   (out) : protocol_version
[2022-01-25 20:37:29.786] <gnugo>   (out) : query_boardsize
[2022-01-25 20:37:29.786] <gnugo>   (out) : query_orientation
[2022-01-25 20:37:29.786] <gnugo>   (out) : quit
[2022-01-25 20:37:29.786] <gnugo>   (out) : reg_genmove
[2022-01-25 20:37:29.786] <gnugo>   (out) : report_uncertainty
[2022-01-25 20:37:29.786] <gnugo>   (out) : reset_connection_node_counter
[2022-01-25 20:37:29.786] <gnugo>   (out) : reset_life_node_counter
[2022-01-25 20:37:29.786] <gnugo>   (out) : reset_owl_node_counter
[2022-01-25 20:37:29.786] <gnugo>   (out) : reset_reading_node_counter
[2022-01-25 20:37:29.786] <gnugo>   (out) : reset_search_mask
[2022-01-25 20:37:29.786] <gnugo>   (out) : reset_trymove_counter
[2022-01-25 20:37:29.786] <gnugo>   (out) : restricted_genmove
[2022-01-25 20:37:29.786] <gnugo>   (out) : same_dragon
[2022-01-25 20:37:29.787] <gnugo>   (out) : set_free_handicap
[2022-01-25 20:37:29.787] <gnugo>   (out) : set_random_seed
[2022-01-25 20:37:29.787] <gnugo>   (out) : set_search_diamond
[2022-01-25 20:37:29.787] <gnugo>   (out) : set_search_limit
[2022-01-25 20:37:29.787] <gnugo>   (out) : showboard
[2022-01-25 20:37:29.787] <gnugo>   (out) : start_sgftrace
[2022-01-25 20:37:29.787] <gnugo>   (out) : surround_map
[2022-01-25 20:37:29.787] <gnugo>   (out) : tactical_analyze_semeai
[2022-01-25 20:37:29.787] <gnugo>   (out) : test_eyeshape
[2022-01-25 20:37:29.787] <gnugo>   (out) : time_left
[2022-01-25 20:37:29.787] <gnugo>   (out) : time_settings
[2022-01-25 20:37:29.787] <gnugo>   (out) : top_moves
[2022-01-25 20:37:29.787] <gnugo>   (out) : top_moves_black
[2022-01-25 20:37:29.787] <gnugo>   (out) : top_moves_white
[2022-01-25 20:37:29.787] <gnugo>   (out) : tryko
[2022-01-25 20:37:29.787] <gnugo>   (out) : trymove
[2022-01-25 20:37:29.788] <gnugo>   (out) : tune_move_ordering
[2022-01-25 20:37:29.788] <gnugo>   (out) : unconditional_status
[2022-01-25 20:37:29.788] <gnugo>   (out) : undo
[2022-01-25 20:37:29.788] <gnugo>   (out) : version
[2022-01-25 20:37:29.788] <gnugo>   (out) : white
[2022-01-25 20:37:29.788] <gnugo>   (out) : worm_cutstone
[2022-01-25 20:37:29.788] <gnugo>   (out) : worm_data
[2022-01-25 20:37:29.788] <gnugo>   (out) : worm_stones
[2022-01-25 20:37:29.788] <gnugo>   (out) : 
[2022-01-25 20:37:52.698] <gnugo>    (in) : komi 6.5
[2022-01-25 20:37:52.702] <gnugo>   (out) : = 
[2022-01-25 20:37:52.702] <gnugo>   (out) : 
[2022-01-25 20:37:52.706] <gnugo>    (in) : boardsize 5
[2022-01-25 20:37:52.709] <gnugo>   (out) : = 
[2022-01-25 20:37:52.709] <gnugo>   (out) : 
[2022-01-25 20:37:52.712] <gnugo>    (in) : clear_board
[2022-01-25 20:37:52.712] <gnugo>    (in) : play B C3
[2022-01-25 20:37:52.719] <gnugo>   (out) : = 
[2022-01-25 20:37:52.719] <gnugo>   (out) : 
[2022-01-25 20:37:52.720] <gnugo>   (out) : = 
[2022-01-25 20:37:52.720] <gnugo>   (out) : 
[2022-01-25 20:37:52.722] <gnugo>    (in) : genmove W
[2022-01-25 20:37:52.734] <gnugo>   (out) : = C2
[2022-01-25 20:37:52.734] <gnugo>   (out) : 
[2022-01-25 20:37:56.526] <gnugo>    (in) : play B D3
[2022-01-25 20:37:56.533] <gnugo>   (out) : = 
[2022-01-25 20:37:56.534] <gnugo>   (out) : 
[2022-01-25 20:37:56.538] <gnugo>    (in) : genmove W
[2022-01-25 20:37:56.590] <gnugo>   (out) : = D2
[2022-01-25 20:37:56.590] <gnugo>   (out) : 
[2022-01-25 20:37:58.484] <gnugo>    (in) : play B B2
[2022-01-25 20:37:58.492] <gnugo>   (out) : = 
[2022-01-25 20:37:58.493] <gnugo>   (out) : 
[2022-01-25 20:37:58.497] <gnugo>    (in) : genmove W
[2022-01-25 20:37:58.559] <gnugo>   (out) : = B3
[2022-01-25 20:37:58.559] <gnugo>   (out) : 
[2022-01-25 20:38:01.820] <gnugo>    (in) : play B B4
[2022-01-25 20:38:01.828] <gnugo>   (out) : = 
[2022-01-25 20:38:01.829] <gnugo>   (out) : 
[2022-01-25 20:38:01.833] <gnugo>    (in) : genmove W
[2022-01-25 20:38:01.927] <gnugo>   (out) : = C4
[2022-01-25 20:38:01.927] <gnugo>   (out) : 
[2022-01-25 20:38:06.454] <gnugo>    (in) : play B D4
[2022-01-25 20:38:06.463] <gnugo>   (out) : = 
[2022-01-25 20:38:06.463] <gnugo>   (out) : 
[2022-01-25 20:38:06.468] <gnugo>    (in) : genmove W
[2022-01-25 20:38:06.555] <gnugo>   (out) : = A4
[2022-01-25 20:38:06.556] <gnugo>   (out) : 
[2022-01-25 20:38:10.184] <gnugo>    (in) : play B A3
[2022-01-25 20:38:10.189] <gnugo>   (out) : = 
[2022-01-25 20:38:10.189] <gnugo>   (out) : 
[2022-01-25 20:38:10.194] <gnugo>    (in) : genmove W
[2022-01-25 20:38:10.247] <gnugo>   (out) : = resign
[2022-01-25 20:38:10.248] <gnugo>   (out) : 
[2022-01-25 20:38:31.817] <gnugo>    (in) : clear_board
[2022-01-25 20:38:31.817] <gnugo>    (in) : play B C3
[2022-01-25 20:38:31.827] <gnugo>   (out) : = 
[2022-01-25 20:38:31.827] <gnugo>   (out) : 
[2022-01-25 20:38:31.827] <gnugo>   (out) : = 
[2022-01-25 20:38:31.828] <gnugo>   (out) : 
[2022-01-25 20:38:31.832] <gnugo>    (in) : genmove W
[2022-01-25 20:38:31.853] <gnugo>   (out) : = D3
[2022-01-25 20:38:31.854] <gnugo>   (out) : 
[2022-01-25 20:38:40.484] <gnugo>    (in) : play B C4
[2022-01-25 20:38:40.495] <gnugo>   (out) : = 
[2022-01-25 20:38:40.495] <gnugo>   (out) : 
[2022-01-25 20:38:40.499] <gnugo>    (in) : genmove W
[2022-01-25 20:38:40.555] <gnugo>   (out) : = D4
[2022-01-25 20:38:40.555] <gnugo>   (out) : 
[2022-01-25 20:38:41.984] <gnugo>    (in) : play B D2
[2022-01-25 20:38:41.990] <gnugo>   (out) : = 
[2022-01-25 20:38:41.991] <gnugo>   (out) : 
[2022-01-25 20:38:41.993] <gnugo>    (in) : genmove W
[2022-01-25 20:38:42.028] <gnugo>   (out) : = C2
[2022-01-25 20:38:42.028] <gnugo>   (out) : 
[2022-01-25 20:38:43.584] <gnugo>    (in) : play B B2
[2022-01-25 20:38:43.594] <gnugo>   (out) : = 
[2022-01-25 20:38:43.595] <gnugo>   (out) : 
[2022-01-25 20:38:43.600] <gnugo>    (in) : genmove W
[2022-01-25 20:38:43.675] <gnugo>   (out) : = B3
[2022-01-25 20:38:43.675] <gnugo>   (out) : 
[2022-01-25 20:38:45.017] <gnugo>    (in) : play B B4
[2022-01-25 20:38:45.023] <gnugo>   (out) : = 
[2022-01-25 20:38:45.023] <gnugo>   (out) : 
[2022-01-25 20:38:45.025] <gnugo>    (in) : genmove W
[2022-01-25 20:38:45.088] <gnugo>   (out) : = E2
[2022-01-25 20:38:45.088] <gnugo>   (out) : 
[2022-01-25 20:38:53.316] <gnugo>    (in) : play B C1
[2022-01-25 20:38:53.322] <gnugo>   (out) : = 
[2022-01-25 20:38:53.323] <gnugo>   (out) : 
[2022-01-25 20:38:53.325] <gnugo>    (in) : genmove W
[2022-01-25 20:38:53.396] <gnugo>   (out) : = D1
[2022-01-25 20:38:53.397] <gnugo>   (out) : 
[2022-01-25 20:38:59.252] <gnugo>    (in) : play B C2
[2022-01-25 20:38:59.260] <gnugo>   (out) : = 
[2022-01-25 20:38:59.261] <gnugo>   (out) : 
[2022-01-25 20:38:59.266] <gnugo>    (in) : genmove W
[2022-01-25 20:38:59.285] <gnugo>   (out) : = resign
[2022-01-25 20:38:59.285] <gnugo>   (out) : 
[2022-01-25 20:39:50.282] <gnugo>    (in) : boardsize 7
[2022-01-25 20:39:50.321] <gnugo>   (out) : = 
[2022-01-25 20:39:50.321] <gnugo>   (out) : 
[2022-01-25 20:39:50.324] <gnugo>    (in) : clear_board
[2022-01-25 20:39:50.324] <gnugo>    (in) : play B C5
[2022-01-25 20:39:50.328] <gnugo>   (out) : = 
[2022-01-25 20:39:50.329] <gnugo>   (out) : 
[2022-01-25 20:39:50.329] <gnugo>   (out) : = 
[2022-01-25 20:39:50.329] <gnugo>   (out) : 
[2022-01-25 20:39:50.332] <gnugo>    (in) : genmove W
[2022-01-25 20:39:50.341] <gnugo>   (out) : = E3
[2022-01-25 20:39:50.341] <gnugo>   (out) : 
[2022-01-25 20:39:54.721] <gnugo>    (in) : play B E4
